Method,Width,Height,Time (s),Success
CKKS,100,100,0.12142443656921387,True
CKKS,500,500,1.5183122158050537,True
BFV,100,100,0.04933619499206543,True
BFV,500,500,0.5018784999847412,True
BGV,100,100,0.013462543487548828,False
BGV,500,500,0.0024275779724121094,False
